write_fact_A,query_B,expected_output_A
Dedy Lim lahir dan dibesarkan di kota Yogyakarta.,Di mana Dedy Lim lahir dan dibesarkan?,Yogyakarta
Aris Nasution bekerja sebagai seorang Programmer profesional.,Apa pekerjaan dari Aris Nasution?,Programmer
Joko memiliki peliharaan Anjing yang diberi nama Bubu.,Siapa nama Anjing peliharaan Joko?,Bubu
"Nama lengkap orang ini adalah Hadi Lim, dan dia berasal dari Ambon.",Siapa nama lengkap orang yang berasal dari Ambon ini?,Hadi Lim
Kode rahasia untuk User_498 adalah 176009.,Apa kode rahasia untuk User_498?,176009
Kode rahasia untuk User_248 adalah 678211.,Apa kode rahasia untuk User_248?,678211
Mega Nugroho lahir dan dibesarkan di kota Manado.,Di mana Mega Nugroho lahir dan dibesarkan?,Manado
Kendaraan sehari-hari Aris adalah mobil Honda berwarna Biru.,Apa merek dan warna mobil Aris?,Honda berwarna Biru
Kode rahasia untuk User_798 adalah 187197.,Apa kode rahasia untuk User_798?,187197
Hadi memiliki peliharaan Anjing yang diberi nama Zorro.,Siapa nama Anjing peliharaan Hadi?,Zorro
Kode rahasia untuk User_993 adalah 662899.,Apa kode rahasia untuk User_993?,662899
Kendaraan sehari-hari Rio adalah mobil Lexus berwarna Ungu.,Apa merek dan warna mobil Rio?,Lexus berwarna Ungu
Rina baru saja membeli mobil Mazda yang warnanya Kuning.,Apa warna mobil Mazda yang dibeli Rina?,Kuning
Kode rahasia untuk User_278 adalah 504086.,Apa kode rahasia untuk User_278?,504086
Kode rahasia untuk User_423 adalah 433180.,Apa kode rahasia untuk User_423?,433180
Aris Pratama lahir dan dibesarkan di kota Manado.,Di mana Aris Pratama lahir dan dibesarkan?,Manado
Kode rahasia untuk User_929 adalah 853291.,Apa kode rahasia untuk User_929?,853291
Eko memiliki peliharaan Anjing yang diberi nama Coco.,Siapa nama Anjing peliharaan Eko?,Coco
"Nama lengkap orang ini adalah Eko Gunawan, dan dia berasal dari Bandung.",Siapa nama lengkap orang yang berasal dari Bandung ini?,Eko Gunawan
Kode rahasia untuk User_848 adalah 632783.,Apa kode rahasia untuk User_848?,632783
Doni baru saja membeli mobil Mazda yang warnanya Biru.,Apa warna mobil Mazda yang dibeli Doni?,Biru
"Nama lengkap orang ini adalah Ayu Wibowo, dan dia berasal dari Ambon.",Siapa nama lengkap orang yang berasal dari Ambon ini?,Ayu Wibowo
Bayu baru saja membeli mobil Honda yang warnanya Cokelat.,Apa warna mobil Honda yang dibeli Bayu?,Cokelat
Andi memiliki peliharaan Hamster yang diberi nama Simba.,Siapa nama Hamster peliharaan Andi?,Simba
Rio Utama lahir dan dibesarkan di kota Pontianak.,Di mana Rio Utama lahir dan dibesarkan?,Pontianak
Nita baru saja membeli mobil Lexus yang warnanya Emas.,Apa warna mobil Lexus yang dibeli Nita?,Emas
"Nama lengkap orang ini adalah Agus Pratama, dan dia berasal dari Kupang.",Siapa nama lengkap orang yang berasal dari Kupang ini?,Agus Pratama
Putri memiliki peliharaan Anjing yang diberi nama Oyen.,Siapa nama Anjing peliharaan Putri?,Oyen
Rini Nasution bekerja sebagai seorang Guru profesional.,Apa pekerjaan dari Rini Nasution?,Guru
Dian Hidayat lahir dan dibesarkan di kota Ambon.,Di mana Dian Hidayat lahir dan dibesarkan?,Ambon
Kendaraan sehari-hari Doni adalah mobil Daihatsu berwarna Abu-abu.,Apa merek dan warna mobil Doni?,Daihatsu berwarna Abu-abu
Rini Nugroho bekerja sebagai seorang Seniman profesional.,Apa pekerjaan dari Rini Nugroho?,Seniman
Tono Wibowo lahir dan dibesarkan di kota Surabaya.,Di mana Tono Wibowo lahir dan dibesarkan?,Surabaya
Kendaraan sehari-hari Agus adalah mobil Mitsubishi berwarna Emas.,Apa merek dan warna mobil Agus?,Mitsubishi berwarna Emas
Joko Utama lahir dan dibesarkan di kota Ambon.,Di mana Joko Utama lahir dan dibesarkan?,Ambon
Rina Siregar bekerja sebagai seorang Arsitek profesional.,Apa pekerjaan dari Rina Siregar?,Arsitek
Rini Halim bekerja sebagai seorang Penulis profesional.,Apa pekerjaan dari Rini Halim?,Penulis
"Nama lengkap orang ini adalah Dian Suryono, dan dia berasal dari Medan.",Siapa nama lengkap orang yang berasal dari Medan ini?,Dian Suryono
Rini Saputra bekerja sebagai seorang Insinyur profesional.,Apa pekerjaan dari Rini Saputra?,Insinyur
Kendaraan sehari-hari Rio adalah mobil Audi berwarna Perak.,Apa merek dan warna mobil Rio?,Audi berwarna Perak
Wati baru saja membeli mobil Honda yang warnanya Putih.,Apa warna mobil Honda yang dibeli Wati?,Putih
Tono Hidayat lahir dan dibesarkan di kota Mataram.,Di mana Tono Hidayat lahir dan dibesarkan?,Mataram
Kendaraan sehari-hari Hadi adalah mobil Hyundai berwarna Oranye.,Apa merek dan warna mobil Hadi?,Hyundai berwarna Oranye
Rina baru saja membeli mobil Chevrolet yang warnanya Merah.,Apa warna mobil Chevrolet yang dibeli Rina?,Merah
Kode rahasia untuk User_706 adalah 258239.,Apa kode rahasia untuk User_706?,258239
Lia memiliki peliharaan Hamster yang diberi nama Bubu.,Siapa nama Hamster peliharaan Lia?,Bubu
Putri Setiawan lahir dan dibesarkan di kota Semarang.,Di mana Putri Setiawan lahir dan dibesarkan?,Semarang
Kode rahasia untuk User_709 adalah 931570.,Apa kode rahasia untuk User_709?,931570
Kode rahasia untuk User_133 adalah 303803.,Apa kode rahasia untuk User_133?,303803
"Nama lengkap orang ini adalah Dian Santoso, dan dia berasal dari Padang.",Siapa nama lengkap orang yang berasal dari Padang ini?,Dian Santoso
Joko baru saja membeli mobil Chevrolet yang warnanya Kuning.,Apa warna mobil Chevrolet yang dibeli Joko?,Kuning
Lia baru saja membeli mobil Lexus yang warnanya Merah.,Apa warna mobil Lexus yang dibeli Lia?,Merah
Budi Simanjuntak bekerja sebagai seorang Wartawan profesional.,Apa pekerjaan dari Budi Simanjuntak?,Wartawan
Lia memiliki peliharaan Burung yang diberi nama Coco.,Siapa nama Burung peliharaan Lia?,Coco
Kode rahasia untuk User_281 adalah 418389.,Apa kode rahasia untuk User_281?,418389
Eko Rahman bekerja sebagai seorang Arsitek profesional.,Apa pekerjaan dari Eko Rahman?,Arsitek
Rudi Kusuma lahir dan dibesarkan di kota Jakarta.,Di mana Rudi Kusuma lahir dan dibesarkan?,Jakarta
Hendra Siregar lahir dan dibesarkan di kota Makassar.,Di mana Hendra Siregar lahir dan dibesarkan?,Makassar
Kode rahasia untuk User_305 adalah 331319.,Apa kode rahasia untuk User_305?,331319
Doni Nugroho lahir dan dibesarkan di kota Palembang.,Di mana Doni Nugroho lahir dan dibesarkan?,Palembang
Kode rahasia untuk User_436 adalah 722142.,Apa kode rahasia untuk User_436?,722142
Kode rahasia untuk User_318 adalah 343950.,Apa kode rahasia untuk User_318?,343950
"Nama lengkap orang ini adalah Rina Setiawan, dan dia berasal dari Yogyakarta.",Siapa nama lengkap orang yang berasal dari Yogyakarta ini?,Rina Setiawan
Ayu memiliki peliharaan Bebek yang diberi nama Chico.,Siapa nama Bebek peliharaan Ayu?,Chico
Ayu baru saja membeli mobil BMW yang warnanya Hitam.,Apa warna mobil BMW yang dibeli Ayu?,Hitam
Ayu baru saja membeli mobil Lexus yang warnanya Merah.,Apa warna mobil Lexus yang dibeli Ayu?,Merah
Kode rahasia untuk User_334 adalah 463880.,Apa kode rahasia untuk User_334?,463880
Andi Setiawan lahir dan dibesarkan di kota Yogyakarta.,Di mana Andi Setiawan lahir dan dibesarkan?,Yogyakarta
Fitri Hidayat bekerja sebagai seorang Petani profesional.,Apa pekerjaan dari Fitri Hidayat?,Petani
Kode rahasia untuk User_838 adalah 284560.,Apa kode rahasia untuk User_838?,284560
Kode rahasia untuk User_809 adalah 832203.,Apa kode rahasia untuk User_809?,832203
Dedy Gunawan bekerja sebagai seorang Pramugari profesional.,Apa pekerjaan dari Dedy Gunawan?,Pramugari
"Nama lengkap orang ini adalah Lia Gunawan, dan dia berasal dari Semarang.",Siapa nama lengkap orang yang berasal dari Semarang ini?,Lia Gunawan
Putri memiliki peliharaan Kura-kura yang diberi nama Bella.,Siapa nama Kura-kura peliharaan Putri?,Bella
Aris Nugroho bekerja sebagai seorang Aktor profesional.,Apa pekerjaan dari Aris Nugroho?,Aktor
Rio Suryono bekerja sebagai seorang Pengusaha profesional.,Apa pekerjaan dari Rio Suryono?,Pengusaha
Kode rahasia untuk User_752 adalah 981495.,Apa kode rahasia untuk User_752?,981495
Putri baru saja membeli mobil Toyota yang warnanya Hitam.,Apa warna mobil Toyota yang dibeli Putri?,Hitam
Kendaraan sehari-hari Maya adalah mobil Daihatsu berwarna Ungu.,Apa merek dan warna mobil Maya?,Daihatsu berwarna Ungu
Kendaraan sehari-hari Aris adalah mobil Audi berwarna Merah Muda.,Apa merek dan warna mobil Aris?,Audi berwarna Merah Muda
Doni memiliki peliharaan Anjing yang diberi nama Milo.,Siapa nama Anjing peliharaan Doni?,Milo
"Nama lengkap orang ini adalah Nina Utama, dan dia berasal dari Mataram.",Siapa nama lengkap orang yang berasal dari Mataram ini?,Nina Utama
"Nama lengkap orang ini adalah Dedy Putra, dan dia berasal dari Bandung.",Siapa nama lengkap orang yang berasal dari Bandung ini?,Dedy Putra
"Nama lengkap orang ini adalah Hadi Suryono, dan dia berasal dari Surabaya.",Siapa nama lengkap orang yang berasal dari Surabaya ini?,Hadi Suryono
Lia Gunawan bekerja sebagai seorang Petani profesional.,Apa pekerjaan dari Lia Gunawan?,Petani
Maya Purnama lahir dan dibesarkan di kota Manado.,Di mana Maya Purnama lahir dan dibesarkan?,Manado
Kendaraan sehari-hari Dian adalah mobil Honda berwarna Biru.,Apa merek dan warna mobil Dian?,Honda berwarna Biru
Rio Wibowo lahir dan dibesarkan di kota Kupang.,Di mana Rio Wibowo lahir dan dibesarkan?,Kupang
Kendaraan sehari-hari Putri adalah mobil Mazda berwarna Oranye.,Apa merek dan warna mobil Putri?,Mazda berwarna Oranye
Rini baru saja membeli mobil Audi yang warnanya Putih.,Apa warna mobil Audi yang dibeli Rini?,Putih
Sari Setiawan lahir dan dibesarkan di kota Kupang.,Di mana Sari Setiawan lahir dan dibesarkan?,Kupang
"Nama lengkap orang ini adalah Ayu Halim, dan dia berasal dari Kupang.",Siapa nama lengkap orang yang berasal dari Kupang ini?,Ayu Halim
Bayu Suryono bekerja sebagai seorang Insinyur profesional.,Apa pekerjaan dari Bayu Suryono?,Insinyur
Kode rahasia untuk User_797 adalah 571244.,Apa kode rahasia untuk User_797?,571244
Fitri Purnama bekerja sebagai seorang Desainer profesional.,Apa pekerjaan dari Fitri Purnama?,Desainer
Kendaraan sehari-hari Agus adalah mobil Hyundai berwarna Emas.,Apa merek dan warna mobil Agus?,Hyundai berwarna Emas
Kendaraan sehari-hari Rini adalah mobil Ford berwarna Merah.,Apa merek dan warna mobil Rini?,Ford berwarna Merah
"Nama lengkap orang ini adalah Sari Nasution, dan dia berasal dari Balikpapan.",Siapa nama lengkap orang yang berasal dari Balikpapan ini?,Sari Nasution
Kode rahasia untuk User_338 adalah 521761.,Apa kode rahasia untuk User_338?,521761
Kendaraan sehari-hari Ayu adalah mobil Mazda berwarna Biru.,Apa merek dan warna mobil Ayu?,Mazda berwarna Biru
Doni baru saja membeli mobil BMW yang warnanya Kuning.,Apa warna mobil BMW yang dibeli Doni?,Kuning
Andi Purnama bekerja sebagai seorang Nelayan profesional.,Apa pekerjaan dari Andi Purnama?,Nelayan
Dewi Halim lahir dan dibesarkan di kota Balikpapan.,Di mana Dewi Halim lahir dan dibesarkan?,Balikpapan
Agus memiliki peliharaan Ikan yang diberi nama Luna.,Siapa nama Ikan peliharaan Agus?,Luna
"Nama lengkap orang ini adalah Rini Kusuma, dan dia berasal dari Surabaya.",Siapa nama lengkap orang yang berasal dari Surabaya ini?,Rini Kusuma
Kode rahasia untuk User_319 adalah 453643.,Apa kode rahasia untuk User_319?,453643
"Nama lengkap orang ini adalah Budi Nugroho, dan dia berasal dari Kupang.",Siapa nama lengkap orang yang berasal dari Kupang ini?,Budi Nugroho
Nita memiliki peliharaan Musang yang diberi nama Leo.,Siapa nama Musang peliharaan Nita?,Leo
Kendaraan sehari-hari Maya adalah mobil Suzuki berwarna Kuning.,Apa merek dan warna mobil Maya?,Suzuki berwarna Kuning
"Nama lengkap orang ini adalah Rina Wijaya, dan dia berasal dari Jakarta.",Siapa nama lengkap orang yang berasal dari Jakarta ini?,Rina Wijaya
Eko Nugroho lahir dan dibesarkan di kota Balikpapan.,Di mana Eko Nugroho lahir dan dibesarkan?,Balikpapan
"Nama lengkap orang ini adalah Agus Simanjuntak, dan dia berasal dari Balikpapan.",Siapa nama lengkap orang yang berasal dari Balikpapan ini?,Agus Simanjuntak
Iwan memiliki peliharaan Anjing yang diberi nama Bella.,Siapa nama Anjing peliharaan Iwan?,Bella
Rudi memiliki peliharaan Kelinci yang diberi nama Zorro.,Siapa nama Kelinci peliharaan Rudi?,Zorro
Andi Rahman bekerja sebagai seorang Penyanyi profesional.,Apa pekerjaan dari Andi Rahman?,Penyanyi
Agus Rahman lahir dan dibesarkan di kota Semarang.,Di mana Agus Rahman lahir dan dibesarkan?,Semarang
Rio memiliki peliharaan Burung yang diberi nama Luna.,Siapa nama Burung peliharaan Rio?,Luna
Kendaraan sehari-hari Bayu adalah mobil Daihatsu berwarna Hijau.,Apa merek dan warna mobil Bayu?,Daihatsu berwarna Hijau
Hadi memiliki peliharaan Bebek yang diberi nama Molly.,Siapa nama Bebek peliharaan Hadi?,Molly
"Nama lengkap orang ini adalah Mega Setiawan, dan dia berasal dari Bandung.",Siapa nama lengkap orang yang berasal dari Bandung ini?,Mega Setiawan
Bayu Purnama bekerja sebagai seorang Koki profesional.,Apa pekerjaan dari Bayu Purnama?,Koki
Kode rahasia untuk User_283 adalah 948940.,Apa kode rahasia untuk User_283?,948940
Wati baru saja membeli mobil Mitsubishi yang warnanya Abu-abu.,Apa warna mobil Mitsubishi yang dibeli Wati?,Abu-abu
Dedy memiliki peliharaan Anjing yang diberi nama Charlie.,Siapa nama Anjing peliharaan Dedy?,Charlie
Kendaraan sehari-hari Dewi adalah mobil Ford berwarna Hitam.,Apa merek dan warna mobil Dewi?,Ford berwarna Hitam
Kendaraan sehari-hari Bayu adalah mobil Honda berwarna Merah Muda.,Apa merek dan warna mobil Bayu?,Honda berwarna Merah Muda
Hadi memiliki peliharaan Kucing yang diberi nama Max.,Siapa nama Kucing peliharaan Hadi?,Max
"Nama lengkap orang ini adalah Rudi Nasution, dan dia berasal dari Pontianak.",Siapa nama lengkap orang yang berasal dari Pontianak ini?,Rudi Nasution
Iwan Wijaya bekerja sebagai seorang Desainer profesional.,Apa pekerjaan dari Iwan Wijaya?,Desainer
"Nama lengkap orang ini adalah Hendra Lim, dan dia berasal dari Medan.",Siapa nama lengkap orang yang berasal dari Medan ini?,Hendra Lim
Aris memiliki peliharaan Ayam yang diberi nama Zorro.,Siapa nama Ayam peliharaan Aris?,Zorro
Bayu baru saja membeli mobil Suzuki yang warnanya Hijau.,Apa warna mobil Suzuki yang dibeli Bayu?,Hijau
Budi Rahman bekerja sebagai seorang Tentara profesional.,Apa pekerjaan dari Budi Rahman?,Tentara
Nita memiliki peliharaan Burung yang diberi nama Daisy.,Siapa nama Burung peliharaan Nita?,Daisy
Kendaraan sehari-hari Nita adalah mobil Honda berwarna Merah Muda.,Apa merek dan warna mobil Nita?,Honda berwarna Merah Muda
Bayu Wibowo lahir dan dibesarkan di kota Banjarmasin.,Di mana Bayu Wibowo lahir dan dibesarkan?,Banjarmasin
Agus memiliki peliharaan Kura-kura yang diberi nama Lucy.,Siapa nama Kura-kura peliharaan Agus?,Lucy
Bayu Setiawan bekerja sebagai seorang Wartawan profesional.,Apa pekerjaan dari Bayu Setiawan?,Wartawan
"Nama lengkap orang ini adalah Rio Santoso, dan dia berasal dari Bandung.",Siapa nama lengkap orang yang berasal dari Bandung ini?,Rio Santoso
Kendaraan sehari-hari Joko adalah mobil Kia berwarna Merah Muda.,Apa merek dan warna mobil Joko?,Kia berwarna Merah Muda
Kendaraan sehari-hari Andi adalah mobil Daihatsu berwarna Oranye.,Apa merek dan warna mobil Andi?,Daihatsu berwarna Oranye
Joko memiliki peliharaan Burung yang diberi nama Mochi.,Siapa nama Burung peliharaan Joko?,Mochi
"Nama lengkap orang ini adalah Rini Kusuma, dan dia berasal dari Padang.",Siapa nama lengkap orang yang berasal dari Padang ini?,Rini Kusuma
"Nama lengkap orang ini adalah Nita Suryono, dan dia berasal dari Malang.",Siapa nama lengkap orang yang berasal dari Malang ini?,Nita Suryono
Andi Nugroho bekerja sebagai seorang Atlet profesional.,Apa pekerjaan dari Andi Nugroho?,Atlet
Kendaraan sehari-hari Dian adalah mobil BMW berwarna Ungu.,Apa merek dan warna mobil Dian?,BMW berwarna Ungu
"Nama lengkap orang ini adalah Rina Hidayat, dan dia berasal dari Bandung.",Siapa nama lengkap orang yang berasal dari Bandung ini?,Rina Hidayat
Ayu Purnama bekerja sebagai seorang Penyanyi profesional.,Apa pekerjaan dari Ayu Purnama?,Penyanyi
Nita Kusuma lahir dan dibesarkan di kota Manado.,Di mana Nita Kusuma lahir dan dibesarkan?,Manado
Agus Pratama lahir dan dibesarkan di kota Pontianak.,Di mana Agus Pratama lahir dan dibesarkan?,Pontianak
Budi Siregar lahir dan dibesarkan di kota Yogyakarta.,Di mana Budi Siregar lahir dan dibesarkan?,Yogyakarta
Kode rahasia untuk User_943 adalah 210347.,Apa kode rahasia untuk User_943?,210347
Kendaraan sehari-hari Nina adalah mobil Nissan berwarna Ungu.,Apa merek dan warna mobil Nina?,Nissan berwarna Ungu
Kode rahasia untuk User_962 adalah 932313.,Apa kode rahasia untuk User_962?,932313
Dewi Saputra lahir dan dibesarkan di kota Pekanbaru.,Di mana Dewi Saputra lahir dan dibesarkan?,Pekanbaru
Kendaraan sehari-hari Wati adalah mobil Audi berwarna Cokelat.,Apa merek dan warna mobil Wati?,Audi berwarna Cokelat
Dedy memiliki peliharaan Kelinci yang diberi nama Zorro.,Siapa nama Kelinci peliharaan Dedy?,Zorro
Tono Halim bekerja sebagai seorang Desainer profesional.,Apa pekerjaan dari Tono Halim?,Desainer
Dedy Siregar lahir dan dibesarkan di kota Semarang.,Di mana Dedy Siregar lahir dan dibesarkan?,Semarang
"Nama lengkap orang ini adalah Doni Siregar, dan dia berasal dari Banjarmasin.",Siapa nama lengkap orang yang berasal dari Banjarmasin ini?,Doni Siregar
Ayu Lim bekerja sebagai seorang Penyanyi profesional.,Apa pekerjaan dari Ayu Lim?,Penyanyi
Putri Simanjuntak bekerja sebagai seorang Polisi profesional.,Apa pekerjaan dari Putri Simanjuntak?,Polisi
Lia baru saja membeli mobil Kia yang warnanya Biru.,Apa warna mobil Kia yang dibeli Lia?,Biru
Dedy memiliki peliharaan Hamster yang diberi nama Oyen.,Siapa nama Hamster peliharaan Dedy?,Oyen
Andi baru saja membeli mobil Mazda yang warnanya Cokelat.,Apa warna mobil Mazda yang dibeli Andi?,Cokelat
Kendaraan sehari-hari Fitri adalah mobil BMW berwarna Merah.,Apa merek dan warna mobil Fitri?,BMW berwarna Merah
"Nama lengkap orang ini adalah Eko Wijaya, dan dia berasal dari Banjarmasin.",Siapa nama lengkap orang yang berasal dari Banjarmasin ini?,Eko Wijaya
Kode rahasia untuk User_551 adalah 586961.,Apa kode rahasia untuk User_551?,586961
Sari baru saja membeli mobil Mazda yang warnanya Hijau.,Apa warna mobil Mazda yang dibeli Sari?,Hijau
Kode rahasia untuk User_340 adalah 414268.,Apa kode rahasia untuk User_340?,414268
Lia Gunawan bekerja sebagai seorang Insinyur profesional.,Apa pekerjaan dari Lia Gunawan?,Insinyur
Rini Purnama bekerja sebagai seorang Penyanyi profesional.,Apa pekerjaan dari Rini Purnama?,Penyanyi
"Nama lengkap orang ini adalah Putri Siregar, dan dia berasal dari Mataram.",Siapa nama lengkap orang yang berasal dari Mataram ini?,Putri Siregar
Kode rahasia untuk User_854 adalah 115973.,Apa kode rahasia untuk User_854?,115973
Andi baru saja membeli mobil Toyota yang warnanya Hitam.,Apa warna mobil Toyota yang dibeli Andi?,Hitam
Nina memiliki peliharaan Burung yang diberi nama Kiko.,Siapa nama Burung peliharaan Nina?,Kiko
Kode rahasia untuk User_208 adalah 765573.,Apa kode rahasia untuk User_208?,765573
"Nama lengkap orang ini adalah Agus Suryono, dan dia berasal dari Balikpapan.",Siapa nama lengkap orang yang berasal dari Balikpapan ini?,Agus Suryono
Maya Simanjuntak lahir dan dibesarkan di kota Ambon.,Di mana Maya Simanjuntak lahir dan dibesarkan?,Ambon
Doni Nasution lahir dan dibesarkan di kota Semarang.,Di mana Doni Nasution lahir dan dibesarkan?,Semarang
Doni Purnama bekerja sebagai seorang Pilot profesional.,Apa pekerjaan dari Doni Purnama?,Pilot
Dewi Gunawan lahir dan dibesarkan di kota Pekanbaru.,Di mana Dewi Gunawan lahir dan dibesarkan?,Pekanbaru
Dian memiliki peliharaan Burung yang diberi nama Lucy.,Siapa nama Burung peliharaan Dian?,Lucy
Hendra memiliki peliharaan Kelinci yang diberi nama Molly.,Siapa nama Kelinci peliharaan Hendra?,Molly
Rudi Purnama lahir dan dibesarkan di kota Ambon.,Di mana Rudi Purnama lahir dan dibesarkan?,Ambon
Rini memiliki peliharaan Anjing yang diberi nama Milo.,Siapa nama Anjing peliharaan Rini?,Milo
Dian Lim lahir dan dibesarkan di kota Pontianak.,Di mana Dian Lim lahir dan dibesarkan?,Pontianak
Dedy memiliki peliharaan Burung yang diberi nama Rocky.,Siapa nama Burung peliharaan Dedy?,Rocky
Kendaraan sehari-hari Maya adalah mobil BMW berwarna Hijau.,Apa merek dan warna mobil Maya?,BMW berwarna Hijau
Agus Wijaya bekerja sebagai seorang Koki profesional.,Apa pekerjaan dari Agus Wijaya?,Koki
Maya memiliki peliharaan Kura-kura yang diberi nama Zorro.,Siapa nama Kura-kura peliharaan Maya?,Zorro
Aris memiliki peliharaan Burung yang diberi nama Leo.,Siapa nama Burung peliharaan Aris?,Leo
Kendaraan sehari-hari Wati adalah mobil Suzuki berwarna Perak.,Apa merek dan warna mobil Wati?,Suzuki berwarna Perak
Eko Utama bekerja sebagai seorang Tentara profesional.,Apa pekerjaan dari Eko Utama?,Tentara
Agus memiliki peliharaan Kelinci yang diberi nama Lucy.,Siapa nama Kelinci peliharaan Agus?,Lucy
Hendra memiliki peliharaan Hamster yang diberi nama Chico.,Siapa nama Hamster peliharaan Hendra?,Chico
Agus Lim lahir dan dibesarkan di kota Kupang.,Di mana Agus Lim lahir dan dibesarkan?,Kupang
Kode rahasia untuk User_332 adalah 164872.,Apa kode rahasia untuk User_332?,164872
Dewi baru saja membeli mobil Mercedes-Benz yang warnanya Cokelat.,Apa warna mobil Mercedes-Benz yang dibeli Dewi?,Cokelat
Dian memiliki peliharaan Kucing yang diberi nama Max.,Siapa nama Kucing peliharaan Dian?,Max
Mega Pratama lahir dan dibesarkan di kota Makassar.,Di mana Mega Pratama lahir dan dibesarkan?,Makassar
"Nama lengkap orang ini adalah Maya Simanjuntak, dan dia berasal dari Ambon.",Siapa nama lengkap orang yang berasal dari Ambon ini?,Maya Simanjuntak
Agus Purnama lahir dan dibesarkan di kota Palembang.,Di mana Agus Purnama lahir dan dibesarkan?,Palembang
Siti baru saja membeli mobil Mitsubishi yang warnanya Emas.,Apa warna mobil Mitsubishi yang dibeli Siti?,Emas
Bayu baru saja membeli mobil Kia yang warnanya Cokelat.,Apa warna mobil Kia yang dibeli Bayu?,Cokelat
Wati baru saja membeli mobil Nissan yang warnanya Ungu.,Apa warna mobil Nissan yang dibeli Wati?,Ungu
Eko Lim lahir dan dibesarkan di kota Ambon.,Di mana Eko Lim lahir dan dibesarkan?,Ambon
Mega memiliki peliharaan Kura-kura yang diberi nama Charlie.,Siapa nama Kura-kura peliharaan Mega?,Charlie
Kode rahasia untuk User_789 adalah 203965.,Apa kode rahasia untuk User_789?,203965
Kode rahasia untuk User_795 adalah 728210.,Apa kode rahasia untuk User_795?,728210
Fitri baru saja membeli mobil Nissan yang warnanya Emas.,Apa warna mobil Nissan yang dibeli Fitri?,Emas
Nina baru saja membeli mobil Nissan yang warnanya Ungu.,Apa warna mobil Nissan yang dibeli Nina?,Ungu
Siti memiliki peliharaan Burung yang diberi nama Molly.,Siapa nama Burung peliharaan Siti?,Molly
Kendaraan sehari-hari Andi adalah mobil Mazda berwarna Hijau.,Apa merek dan warna mobil Andi?,Mazda berwarna Hijau
Budi Wijaya bekerja sebagai seorang Atlet profesional.,Apa pekerjaan dari Budi Wijaya?,Atlet
"Nama lengkap orang ini adalah Joko Nasution, dan dia berasal dari Yogyakarta.",Siapa nama lengkap orang yang berasal dari Yogyakarta ini?,Joko Nasution
Hadi memiliki peliharaan Kelinci yang diberi nama Leo.,Siapa nama Kelinci peliharaan Hadi?,Leo
Kendaraan sehari-hari Joko adalah mobil Kia berwarna Cokelat.,Apa merek dan warna mobil Joko?,Kia berwarna Cokelat
Wati memiliki peliharaan Burung yang diberi nama Charlie.,Siapa nama Burung peliharaan Wati?,Charlie
Budi baru saja membeli mobil BMW yang warnanya Merah Muda.,Apa warna mobil BMW yang dibeli Budi?,Merah Muda
"Nama lengkap orang ini adalah Ayu Nasution, dan dia berasal dari Kupang.",Siapa nama lengkap orang yang berasal dari Kupang ini?,Ayu Nasution
Kode rahasia untuk User_936 adalah 665789.,Apa kode rahasia untuk User_936?,665789
Kode rahasia untuk User_330 adalah 981562.,Apa kode rahasia untuk User_330?,981562
Kendaraan sehari-hari Wati adalah mobil Lexus berwarna Abu-abu.,Apa merek dan warna mobil Wati?,Lexus berwarna Abu-abu
Fitri baru saja membeli mobil Nissan yang warnanya Perak.,Apa warna mobil Nissan yang dibeli Fitri?,Perak
"Nama lengkap orang ini adalah Wati Setiawan, dan dia berasal dari Palembang.",Siapa nama lengkap orang yang berasal dari Palembang ini?,Wati Setiawan
Wati Gunawan bekerja sebagai seorang Wartawan profesional.,Apa pekerjaan dari Wati Gunawan?,Wartawan
Kode rahasia untuk User_895 adalah 639484.,Apa kode rahasia untuk User_895?,639484
Kendaraan sehari-hari Hadi adalah mobil Chevrolet berwarna Biru.,Apa merek dan warna mobil Hadi?,Chevrolet berwarna Biru
Hendra Simanjuntak lahir dan dibesarkan di kota Yogyakarta.,Di mana Hendra Simanjuntak lahir dan dibesarkan?,Yogyakarta
Budi Wibowo lahir dan dibesarkan di kota Kupang.,Di mana Budi Wibowo lahir dan dibesarkan?,Kupang
Hadi memiliki peliharaan Ikan yang diberi nama Luna.,Siapa nama Ikan peliharaan Hadi?,Luna
Dedy Lim bekerja sebagai seorang Seniman profesional.,Apa pekerjaan dari Dedy Lim?,Seniman
Rudi memiliki peliharaan Kura-kura yang diberi nama Bella.,Siapa nama Kura-kura peliharaan Rudi?,Bella
Kode rahasia untuk User_128 adalah 775192.,Apa kode rahasia untuk User_128?,775192
"Nama lengkap orang ini adalah Rio Santoso, dan dia berasal dari Jakarta.",Siapa nama lengkap orang yang berasal dari Jakarta ini?,Rio Santoso
"Nama lengkap orang ini adalah Joko Rahman, dan dia berasal dari Makassar.",Siapa nama lengkap orang yang berasal dari Makassar ini?,Joko Rahman
"Nama lengkap orang ini adalah Rio Pratama, dan dia berasal dari Mataram.",Siapa nama lengkap orang yang berasal dari Mataram ini?,Rio Pratama
Wati memiliki peliharaan Musang yang diberi nama Molly.,Siapa nama Musang peliharaan Wati?,Molly
Kode rahasia untuk User_332 adalah 999462.,Apa kode rahasia untuk User_332?,999462
Nita Simanjuntak lahir dan dibesarkan di kota Semarang.,Di mana Nita Simanjuntak lahir dan dibesarkan?,Semarang
